Name,Person,Email,Address,Phone,Dataset,Classification
A New Leaf - Mental Health & Wellness Center,Jennine Seede,jennine.seede@hotmail.com,"5925 Council Street NE, Suite 117, Cedar Rapids, 52302",319-423-0919 (ph),Problem Gambling Recovery,Recovery
Abbe Center for Community Mental Health,Kathy Johnson,kjohnson@abbehealth.org,"520 11th Street NW, Cedar Rapids, 52405",319-398-3562 (ph) 319-398-3501 (fax),Problem Gambling Recovery,Recovery
Acceptance Recovery Counseling,Dan Tallman,dan@acceptancerecoverycounseling.com,"595 Ashley Court, Ste 7, North Liberty, 52317",319-621-2587 (ph),Problem Gambling Recovery,Recovery
Access Evaluations and Education,Amy Bonebrake,hankelamy@gmail.com,"1903 West Ridgeway Ave, Waterloo, 50701",319-252-4631 (ph),Problem Gambling Recovery,Recovery
"Addiction and Recovery Services, LLC",Kim Pace,kimpace67@yahooo.com,"929 Braden Avenue, Chariton, 50049",641-217-8264 (ph),Problem Gambling Recovery,Recovery
Addictions Recovery Center,Nancy Tegeler,arcnt@mediacombb.net,"410 E. Robinson, Knoxville, 50138",641-842-2813 (ph) 641-842-2632 (fax),Problem Gambling Recovery,Recovery
Adult and Adolescent Substance Abuse Program (ASAP),Shauna Freitag,sfreitag@younghouse.org,"400 S. Broadway, Burlington, 52601",319-752-4000 (ph) 319-758-6650 (fax),Problem Gambling Recovery,Recovery
Alcohol and Drug Dependency Services of SE Iowa (ADDS),Dan Kenel,djkenel@addsiowa.org,"1340 Mt. Pleasant Street, Burlington, 52601",319-753-6567 (ph) 319-753-0703 (fax),Problem Gambling Recovery,Recovery
"Alegent Health, Mercy Hospital",Marilyn Rhoten,Marilyn.rhoten@alegent.org,"801 Harmony, Suite 302, Council Bluffs, 51503",712-328-2609 (ph) 712-328-9257 (fax),Problem Gambling Recovery,Recovery
Allen Recovery Center,Tom Eachus,thomas.eachus@unitypoint.org,"1825 Logan Avenue, Waterloo, 50703",319-235-3550 (ph) 319-235-3642 (fax),Problem Gambling Recovery,Recovery
"Alternative Interventions, LLC",Carla Olson,olsoncarla@msn.com,"3116 Ingersoll, Suite 4, Des Moines, 50312",515-778-7989 (ph) 515-987-0884 (fax),Problem Gambling Recovery,Recovery
ANCHOR Center,"Bruce Vander Sanden,",Bruce.Vandersanden@iowa.gov,"6th  Judicial District, Department of Correctional Services, 951 29th Ave SW, Cedar Rapids, 52404",319-398-3675 (ph) 319-297-3533 (fax),Problem Gambling Recovery,Recovery
Area Substance Abuse Council (ASAC),Jeannette Archer-Simons,jarcher-simons@asac.us,"3601 16th Avenue, SW, Cedar Rapids, 52404",319-390-4611 (ph) 319-390-4381 (fax),Problem Gambling Recovery,Recovery
"Assessment Services, Inc.",Krista Lindholm,klindholm@assessmentiowa.com,"6150 Village View, Drive #102, West Des Moines, 50266",515-327-7036 (ph) 515-875-4895 (fax),Problem Gambling Recovery,Recovery
Avery Comprehensive Services (ACS),Michael Avery,averycomprehensiveservices@courtavenuesuites.com,"309 Court Avenue, Suite 218, Des Moines, 50309",515-875-4880 (ph) 515-875-4881 (fax),Problem Gambling Recovery,Recovery
Bridges of Iowa,Pat Coughlin,pcoughlin@bridgesofia.org,"1211 Vine Street, West Des Moines, 50265",515-414-8049 (ph) 515-209-7081 (fax),Problem Gambling Recovery,Recovery
Broadlawns Medical Center New Connections,Steve Johnson,sjohnson@broadlawns.org,"1801 Hickman, Des Moines, 50314",515-282-6610 (ph) 515-282-6620 (fax),Problem Gambling Recovery,Recovery
Capstone Behavioral Healthcare,Julie Smith,julies@capstonebh.com,"306 N. Third Ave, EastNewton, 50208",641-792-4012 (ph) 641-791-0697 (fax),Problem Gambling Recovery,Recovery
Cedar Rapids Treatment Center/CRC Recovery Inc.,Jerry Rhoads,llower@crchealth.com,"5005 Bowling Street SW Ste. C, Cedar Rapids, 52404",319-531-3824 (ph) 319-531-3840 (fax),Problem Gambling Recovery,Recovery
"Center for Alcohol & Drug Services, Inc. (CADS)",Dennis Duke,Dennis.duke@unitypoint.org,"1523 South Fairmount, PO Box 3278, Davenport, 52802-3278",563-322-2667 (ph) 563-322-3671 (fax),Problem Gambling Recovery,Recovery
"Center for Behavioral Health Iowa, Inc. (CBH)",Mary Massman,Mary.Massman@centerforbehavioralhealth.com,"1200 University, Suite 106, Des Moines, 50314",515-244-9500 (ph) 515-244-9502 (fax),Problem Gambling Recovery,Recovery
"Center for Interpersonal Effectiveness, PC",R. James Thorpe,jimthorpe@cie-ankeny.com,"2525 N. Ankeny Blvd, Suite 113, Ankeny, 50023",515-289-9136 (ph) 515-289-9139 (fax),Problem Gambling Recovery,Recovery
Central Iowa Detention Evaluation Program,Marcos Martinez,marcos@cijdc.com,"2317 Rick Collins Way, Eldora, 50627",641-858-3852 (ph) 641-858-5839 (fax),Problem Gambling Recovery,Recovery
Central Iowa Psychological Services,Warren Phillips,whp@iowacounseling.com,"223 S. Walnut Avenue, Ames, 50010",515-233-1122 (ph) 515-233-6500 (fax),Problem Gambling Recovery,Recovery
Children and Families of Iowa,Denise Stadter,denises@cfiowa.org,"1111 University Avenue, Des Moines, 50314",515-289-2272 (ph),Problem Gambling Recovery,Recovery
East Eighth Group Center,,,"2331 E. 8th Street, Des Moines, 50316",,Problem Gambling Recovery,Recovery
Children & Families of Iowa,,,"111 O West, Fort Dodge, 50501",,Problem Gambling Recovery,Recovery
"Choices Therapy Services, LLC",Brenda Wood-Clark,brenda@choicestherapyservices.org,"2829 Buena Vista Drive, Clive, 50325-4653",641-745-0499 (ph) 515-987-2390 (fax),Problem Gambling Recovery,Recovery
Clarinda Academy,Reggie St. Romain,reggie.st.romain@sequelyouthservices.com,"1820 N. 16th Street, Clarinda, 51632",712-542-3103 (ph) 712-542-2907 (fax),Problem Gambling Recovery,Recovery
"Clearview Recovery, Inc.",Scott Pritchard,scott.pritchard@clearviewrecoveryinc.org,"501 North Sherman, Prairie City, 50228",515-994-3562 (ph) 515-994-3564 (fax),Problem Gambling Recovery,Recovery
Community and Family Resources (CFR),Michelle De La Riva,MichelleD@cfrhelps.org,"726 South 17th Street, Fort Dodge, 50501",866-801-0085 (ph) 515-955-7628 (fax),Problem Gambling Recovery,Recovery
Community Health Center of Southern Iowa Behavioral Health Services,Dennis Hartman,dhartman@chcsi.org,"221 E. State Street, Centerville, 52544",641-856-6471 (ph) 641-856-2603 (fax),Problem Gambling Recovery,Recovery
Covert Action,Christopher Covert,covertaction60@gmail.com,"1223 Center Street, Suite 22, Des Moines, 50309",515-218-6125 (ph) 515-265-0845 (fax),Problem Gambling Recovery,Recovery
Creative Counseling & Intervention Services,Amy Hawcott,ahawcott@ccsames.org,"214 5th Street, Ames, 50010",515-233-1699 (ph) 515-233-2957 (fax),Problem Gambling Recovery,Recovery
Crossroads Behavioral Health Services,Erin Miller,emiller@crossroadscreston.com,"1003 Cotton Wood, Creston, 50801",641-782-8457 (ph) 641-782-7048 (fax),Problem Gambling Recovery,Recovery
Employee & Family Resources (EFR),Tammy Hoyman,thoyman@efr.org,"505 5th Avenue, Ste. 600, Insurance Exchange Bldg, Des Moines, 50309",515-243-4200 (ph) 515-284-5201 (fax),Problem Gambling Recovery,Recovery
"Everest Institute, LLC",Deanna Schuplin,schuplin@everest-institute-llc.com,"2500 82nd Place, Urbandale, 50322",515-418-7735 (ph) 515-412-5123 (fax),Problem Gambling Recovery,Recovery
Eyerly Ball Community Mental Health Center,Cynthia Steidl Bishop,cynthias@eyerlyball.org,"1301 Center Street Des Moines, 50309",515-243-5181 (ph) 515-243-2760 (fax),Problem Gambling Recovery,Recovery
Eyerly Ball Community Mental Health Services,,,"945 19th Street, Des Moines, 50309",515-241-0982 (ph) 515-241-0993 (fax),Problem Gambling Recovery,Recovery
Family Wellness Associates,"Robin Capers,",Robin.capers@familywellnessassoc.com,"1115 5th Street, Sioux City, 51101",712-255-0890 (ph) 712-276-6040 (fax),Problem Gambling Recovery,Recovery
Fifth Judicial District Substance Abuse Programs,Jerry Evans,Jerry.Evans@iowa.gov,"1000 Washington Ave, Des Moines, 50315",515-242-6600 (ph) 515-242-6656 (fax),Problem Gambling Recovery,Recovery
Fort Des Moines Correctional,Cameron Dawson,Cameron.Dawson@iowa.gov,"68 Thayer Street, Des Moines, 50315",515-242-6987 (ph) 515-242-6961 (fax),Problem Gambling Recovery,Recovery
Broadlawns Hospital,,,"1917 Hickman, Des Moines, 50314",515-242-6325 (ph) 515-242-6328 (fax),Problem Gambling Recovery,Recovery
First Resources Corporation Treatment and Recovery Services,Susan Woodford,swood@firstresources.us,"102 N. Hancock Street, Ottumwa, 52501",641-682-2800 (ph) 641-682-2826 (fax),Problem Gambling Recovery,Recovery
Heartland Family Service Family Service Chemical Dependency Program,John Jeanetta,jjeanetta@heartlandfamilyservice.org,"515 E. Broadway, Council Bluffs, 51503",712-322-1407 (ph) 800-422-1407 (ph) 712-322-6833 (fax),Problem Gambling Recovery,Recovery
"Heartland Family Service - Family Works, Iowa",Mary O'Neill,moneill@heartlandfamilyservice.org,"1722 Avenue C, Council Bluffs, 51503",712-322-1407 (ph) 800-422-1407 (ph) 712-256-9547 (fax),Problem Gambling Recovery,Recovery
Hillcrest Community Mental Health,Carrie Merrick,carrie.merrick@hillcrest-fs.org,"2005 Asbury Road, Dubuque, 52001",563-583-7026 (ph) 563-583-7029 (fax),Problem Gambling Recovery,Recovery
HEART Kinnections,Joey Gude,joey@heartkinnections.com,"7 Okoboji Grove Road S. Arnolds Park, 51331",712-320-0202 (ph),Problem Gambling Recovery,Recovery
Horizons Family Centered Recovery Program Covenant Medical Center,Shane Speck,shane.speck@mercyhealth.com,"3421 West 9th Street, Waterloo, 50702",319-272-8560 (ph) 319-272-2919 (fax),Problem Gambling Recovery,Recovery
House of Mercy,Rebecca Peterson,rpeterson@mercydesmoines.org,"1409 Clark Street, Des Moines, 50314",515-643-6500 (ph) 515-643-6598 (fax),Problem Gambling Recovery,Recovery
"Infinity Assessment & Therapy Services, LLC",Jamie Allen,infinityassessmentservicesllc@gmail.com,"100 E. Euclid Ave. Ste. 131, Des Moines, 50313",515-423-1049 (ph),Problem Gambling Recovery,Recovery
"Integrated Treatment Services, LLC",Terry Sallis,itsllc@live.com,"303 S. 2nd Avenue W, Newton, 50208",641-275-7533 (ph) 641-792-6251 (fax),Problem Gambling Recovery,Recovery
Jackson Recovery Centers,Kermit Dahlen,kdahlen@jacksonrecovery.com,"800 5th Street, Ste. 200, Sioux City, 51101",712-234-2300 (ph) 712-234-2398 (fax),Problem Gambling Recovery,Recovery
Keys to Success,Deborah Kay-Ostrander,debko@keystosuccesspella.com,"1402 Washington Street, Pella, 50219",641-780-1087 (ph),Problem Gambling Recovery,Recovery
Kulawik Counseling Services,Mitch Kulawik,mitchk@kcsrecovery.com,"505 5th Street, Suite 520 Sioux City, 51101",712-277-2007 (ph),Problem Gambling Recovery,Recovery
Juvenile Court Service,,,"822 Douglas Street, Suite 201, Sioux City, 51101",402-681-5000 (ph),Problem Gambling Recovery,Recovery
"Lloyd's Counseling, Inc.",Gary Lloyd,lloydscounseling@Yahoo.com,"3832 1/2 Douglas Avenue, Des Moines, 50310",515-277-2205 (ph) 515-277-2181 (fax),Problem Gambling Recovery,Recovery
Manning Family Recovery Center,Eric Weinkoetz,Eric.weinkoetz@mrhcia.com,"410 Main Street, Manning, 51455",712-655-2300 (ph) 712-655-8241 (fax),Problem Gambling Recovery,Recovery
Mercy First Step Mercy Recovery Center,Mary Thompson,Mthompson2@mercydesmoines.org,"1750 48th Street, Des Moines, 50310",515-271-6075 (ph) 515-271-6060 (fax),Problem Gambling Recovery,Recovery
