Name,Address,City,State,Zip,Type,Phone,ObjectId,x,y,Dataset,Classification
Kossuth County Sheriff Office,121 W State St,Algona,IA,50511,Law Enforcement,515-295-3514,2,-10490558.14,5322452.113,Drug Drop Off Sites,Drug Drop Off Sites
Butler County Sheriff's Office,428 6th Street,Allison,IA,50602,Law Enforcement,319-267-2410,3,-10329799.76,5274843.305,Drug Drop Off Sites,Drug Drop Off Sites
Altoona Police Department,700 1st Avenue,Altoona,IA,50009,Law Enforcement,515-967-5132,4,-10404434.51,5108030.478,Drug Drop Off Sites,Drug Drop Off Sites
Ames Police Department,515 Clarke Ave,Ames,IA,50010,Law Enforcement,515-239-5130,5,-10421388.7,5164930.407,Drug Drop Off Sites,Drug Drop Off Sites
Jones County Sheriff Office,500 Main St,Anamosa,IA,52205,Law Enforcement,319-462-4371,6,-10162230.51,5177206.65,Drug Drop Off Sites,Drug Drop Off Sites
Atlantic Police Department,23 East 4th Street,Atlantic,IA,50022,Law Enforcement,712-243-3512,7,-10576754.58,5072559.356,Drug Drop Off Sites,Drug Drop Off Sites
Audubon County Sheriff's Office,318 Leroy,Audubon,IA,50025,Law Enforcement,712-563-2631,8,-10567584.2,5119399.112,Drug Drop Off Sites,Drug Drop Off Sites
Belle Plaine Police Department,1207 8th Ave,Belle Plaine,IA,52208,Law Enforcement,319-444-2323,10,-10272177.43,5145475.87,Drug Drop Off Sites,Drug Drop Off Sites
Bellevue Police Department,106 North 3rd Street,Bellevue,IA,52031,Law Enforcement,563-872-4545,11,-10066147.75,5199828.047,Drug Drop Off Sites,Drug Drop Off Sites
Boone County Sheriff Office,1019 West Mamie Eisenhower,Boone,IA,50036,Law Enforcement,515-433-0524,12,-10453555.65,5169873.833,Drug Drop Off Sites,Drug Drop Off Sites
Britt Police Department,8 2nd St SE,Britt,IA,50423,Law Enforcement,641-843-3822,13,-10441944.88,5326459.425,Drug Drop Off Sites,Drug Drop Off Sites
Camanche Police Department,819 S Washington Blvd,Camanche,IA,52730,Law Enforcement,563-259-8575,14,-10047468.5,5129114.834,Drug Drop Off Sites,Drug Drop Off Sites
Camanche Police Department,917 3rd Street,Camanche,IA,52730,Law Enforcement,563-259-8575,15,-10047169.35,5128386.595,Drug Drop Off Sites,Drug Drop Off Sites
Carlisle Police Department,195 N First St,Carlisle,IA,50047,Law Enforcement,515-989-4121,16,-10406881.12,5086268.025,Drug Drop Off Sites,Drug Drop Off Sites
Cedar Falls Police Department,220 Clay Street,Cedar Falls,IA,50613,Law Enforcement,319-273-8611,17,-10291278.07,5241669.797,Drug Drop Off Sites,Drug Drop Off Sites
Cedar Rapids Police Department,505 1st Street SW,Cedar Rapids,IA,52404,Law Enforcement,319-286-5375,18,-10204673.84,5156784.524,Drug Drop Off Sites,Drug Drop Off Sites
Linn County Sheriff Office,310 2nd Ave SW,Cedar Rapids,IA,52406,Law Enforcement,319-892-6100,19,-10205249.23,5157172.951,Drug Drop Off Sites,Drug Drop Off Sites
Charles City Police Department,105 Milwaukee Mall,Charles City,IA,50616,Law Enforcement,641-228-3366,20,-10316496.26,5322438.92,Drug Drop Off Sites,Drug Drop Off Sites
Cherokee Police Department,239 W Maple St,Cherokee,IA,51012,Law Enforcement,712-225-6464,21,-10636934.29,5273820.928,Drug Drop Off Sites,Drug Drop Off Sites
Clinton County Sheriff Office,241 7th Ave N,Clinton,IA,52722,Law Enforcement,563-242-9211,22,-10039712.58,5138707.539,Drug Drop Off Sites,Drug Drop Off Sites
Clinton Police Department,113 6th Ave S,Clinton,IA,52732,Law Enforcement,563-243-1458,23,-10039473.51,5137048.898,Drug Drop Off Sites,Drug Drop Off Sites
Coralville Police Department,1503 5th Street,Coralville,IA,52241,Law Enforcement,319-248-1800,24,-10195030.48,5112790.712,Drug Drop Off Sites,Drug Drop Off Sites
Howard County Sheriff Office,124 S Park Pl,Cresco,IA,52136,Law Enforcement,563-547-3535,26,-10254301.55,5368952.105,Drug Drop Off Sites,Drug Drop Off Sites
Denison Police Department,1119 1st Ave North,Denison,IA,51442,Law Enforcement,712-263-3195,28,-10615091.7,5163646.556,Drug Drop Off Sites,Drug Drop Off Sites
Des Moines Police Department,25 East 1st Street,Des Moines,IA,50309,Law Enforcement,515-283-4824,29,-10421176.52,5099046.686,Drug Drop Off Sites,Drug Drop Off Sites
Polk County Sheriff Office,6023 NE 14th St,Des Moines,IA,50313,Law Enforcement,515-286-3800,30,-10419597.96,5111677.101,Drug Drop Off Sites,Drug Drop Off Sites
DeWitt Police Department,606 9th St,DeWitt,IA,52742,Law Enforcement,563-659-3145,31,-10078777.45,5134689.23,Drug Drop Off Sites,Drug Drop Off Sites
Dubuque County Sheriff's Office,770 Iowa Street,Dubuque,IA,52004,Law Enforcement,563-589-4400,32,-10092863.2,5236310.538,Drug Drop Off Sites,Drug Drop Off Sites
Hardin County Sheriff Office,1116 14th Ave,Eldora,IA,50627,Law Enforcement,641-939-8189,33,-10363559.74,5215028.525,Drug Drop Off Sites,Drug Drop Off Sites
