"","day","time","ampm","meeting","location","address","format","city","type","state","lon","lat","schedule","county"
"1","Monday",06:00:00,"am","Bettendorf Group","2204 Grant Street","2204 Grant St, Bettendorf, IA","English","Bettendorf","Alcoholics Anonymous","Iowa",-90.5018126,41.5270071,"6H 0M 0S","Scott"
"2","Monday",06:00:00,"am","Breakfast Club Group","511 Melrose Ave","511 Melrose Ave, Iowa City, IA","English","Iowa City","Alcoholics Anonymous","Iowa",-91.5463066,41.656611,"6H 0M 0S","Johnson"
"3","Monday",06:30:00,"am","Sunrise Attitude Adjustment Gp","2111 W 6th St","2111 W 6th St, Sioux City, IA","English","Sioux City","Alcoholics Anonymous","Iowa",-96.4363388,42.5031052,"6H 30M 0S","Woodbury"
"4","Monday",06:30:00,"am","Sunrise Attitude Adjustment Gp","Jackson Recovery","420 Jones St, Sioux City, IA","English","Sioux City","Alcoholics Anonymous","Iowa",-96.4003801,42.4950346,"6H 30M 0S","Woodbury"
"5","Monday",06:30:00,"am","Ankeny Early Birds Online Meeting","St. Ann;s Episcopal Church","2110 W 1st St, Ankeny, IA","Location Temporarily Closed, Online Meeting, Open, Wheelchair Access","Ankeny","Alcoholics Anonymous","Iowa",-93.6287859,41.7324736,"6H 30M 0S","Polk"
"6","Monday",06:30:00,"am","Early Risers Group Online Meeting","Windsor United Methodist Church","6222 University Ave, Des Moines, IA","Big Book, Location Temporarily Closed, Online Meeting, Open, Wheelchair Access","Des Moines","Alcoholics Anonymous","Iowa",-93.7026819,41.6000872,"6H 30M 0S","Polk"
"7","Monday",07:30:00,"am","Central Discussion Group","1706 Brady Street #105","1706 Brady St #105, Davenport, IA","English","Davenport","Alcoholics Anonymous","Iowa",-90.5750676,41.5372533,"7H 30M 0S","Scott"
"8","Monday",07:30:00,"am","Mason City Clubhouse Group","207 8th Place SE","207 8th Pl SE, Mason City, IA","Closed, English, Wheelchair Access, Wheelchair-Accessible Bathroom","Mason City","Alcoholics Anonymous","Iowa",-93.1980919,43.1429075,"7H 30M 0S","Cerro Gordo"
"9","Monday",07:30:00,"am","F & G Location Temporarily Closed","315 E. 5th Street","315 E 5th St, Des Moines, IA","Location Temporarily Closed, Open, Wheelchair Access","Des Moines","Alcoholics Anonymous","Iowa",-93.6106227,41.5891341,"7H 30M 0S","Polk"
"10","Monday",07:30:00,"am","McCormick Clubhouse Online Meeting","McCormick","1201 McCormick Ave, Ames, IA","Discussion, Online Meeting, Open","Ames","Alcoholics Anonymous","Iowa",-93.5862918,42.0331781,"7H 30M 0S","Story"
"11","Monday",08:00:00,"am","An AA Group","Fellowship Club","3224 1st Ave NE, Cedar Rapids, IA","English","Cedar Rapids","Alcoholics Anonymous","Iowa",-91.6355274,42.0106374,"8H 0M 0S","Linn"
"12","Monday",09:00:00,"am","Family Afterwards B/B Study Gp","1240 Rush Street","1240 Rush St, Dubuque, IA","English","Dubuque","Alcoholics Anonymous","Iowa",-90.6756739,42.4859686,"9H 0M 0S","Dubuque"
"13","Monday",09:00:00,"am","Live & Let Live Group","1646 Asbury Rd","1646 Asbury Rd, Dubuque, IA","English","Dubuque","Alcoholics Anonymous","Iowa",-90.6960999,42.5004555,"9H 0M 0S","Dubuque"
"14","Monday",09:00:00,"am","Clinton Group","250 20th Ave N","250 20th Ave N, Clinton, IA","English","Clinton","Alcoholics Anonymous","Iowa",-90.1833406,41.8682732,"9H 0M 0S","Clinton"
"15","Monday",09:00:00,"am","Monday Morning Jump Start Group","32513 Dinan Rd","32513 Dinan Rd, Littleport, IA","English","Littleport","Alcoholics Anonymous","Iowa",-91.374621,42.7568296,"9H 0M 0S","Clayton"
"16","Monday",09:00:00,"am","Early Bird Welcome Group","Fellowship Club","3224 1st Ave NE, Cedar Rapids, IA","English","Cedar Rapids","Alcoholics Anonymous","Iowa",-91.6355274,42.0106374,"9H 0M 0S","Linn"
"17","Monday",09:00:00,"am","Early Birds Upstairs Group","Fellowship Club","3224 1st Ave NE, Cedar Rapids, IA","English","Cedar Rapids","Alcoholics Anonymous","Iowa",-91.6355274,42.0106374,"9H 0M 0S","Linn"
"18","Monday",09:00:00,"am","Step out into the Sun Meditation","The Sycamore Rooms","2414 Towncrest Dr, Iowa City, IA","Meditation","Iowa City","Alcoholics Anonymous","Iowa",-91.4999104,41.6485176,"9H 0M 0S","Johnson"
"19","Monday",09:30:00,"am","F & G: Re-Opening (6/15/20)","315 5th St.","315 5th St, Des Moines, IA","Open, Wheelchair Access","Des Moines","Alcoholics Anonymous","Iowa",-93.6106227,41.5891341,"9H 30M 0S","Polk"
"20","Monday",09:30:00,"am","F & G Location Temporarily Closed","315 E. 5th Street","315 E 5th St, Des Moines, IA","Location Temporarily Closed, Open, Wheelchair Access","Des Moines","Alcoholics Anonymous","Iowa",-93.6106227,41.5891341,"9H 30M 0S","Polk"
"21","Monday",10:00:00,"am","Bettendorf Group","2204 Grant Street","2204 Grant St, Bettendorf, IA","English","Bettendorf","Alcoholics Anonymous","Iowa",-90.5018126,41.5270071,"10H 0M 0S","Scott"
"22","Monday",10:00:00,"am","Charles City A.A. Unity Group","805 Wisconsin","805 Wisconsin St, Charles City, IA","English","Charles City","Alcoholics Anonymous","Iowa",-92.6733277,43.0722332,"10H 0M 0S","Floyd"
"23","Monday",10:00:00,"am","Hawkeye 10 A.M. Group","Jackson Recovery","420 Jones St, Sioux City, IA","English","Sioux City","Alcoholics Anonymous","Iowa",-96.4003801,42.4950346,"10H 0M 0S","Woodbury"
"24","Monday",10:30:00,"am","One A Day Group","2432 Jay Ave","2432 Jay Ave, Sioux City, IA","English","Sioux City","Alcoholics Anonymous","Iowa",-96.3773373,42.4823242,"10H 30M 0S","Woodbury"
"25","Monday",11:30:00,"am","Iowa Lakes Women's Group","Lakes Area Senior Center","2100 Zenith Ave, Spirit Lake, IA","Closed","Spirit Lake","Alcoholics Anonymous","Iowa",-95.1223455,43.4203043,"11H 30M 0S","Dickinson"
"26","Monday",12:00:00,"pm","Monday  Eyeopeners Group","12 N 7th Street","12 N 7th St, Ft. Dodge, IA","English","Fort Dodge","Alcoholics Anonymous","Iowa",-94.2011921,42.5107884,"12H 0M 0S","Webster"
"27","Monday",12:00:00,"pm","Central Discussion Group","1706 Brady Street #105","1706 Brady St #105, Davenport, IA","English","Davenport","Alcoholics Anonymous","Iowa",-90.5750676,41.5372533,"12H 0M 0S","Scott"
"28","Monday",12:00:00,"pm","Mason City Clubhouse Group","207 8th Place SE","207 8th Pl SE, Mason City, IA","English","Mason City","Alcoholics Anonymous","Iowa",-93.1980919,43.1429075,"12H 0M 0S","Cerro Gordo"
"29","Monday",12:00:00,"pm","Fellowship Group","214 N 4th Street","214 N 4th St, Burlington, IA","Closed, English, Step Meeting","Burlington","Alcoholics Anonymous","Iowa",-91.1036684,40.8099373,"12H 0M 0S","Des Moines"
"30","Monday",12:00:00,"pm","For Those Who Want it Group","225 S 35th St","225 35th St, Marion, IA","English","Marion","Alcoholics Anonymous","Iowa",-91.5738676,42.0287862,"12H 0M 0S","Linn"
"31","Monday",12:00:00,"pm","Misery Optional Monday Group","232 14th Street SE","232 14th St SE, Sioux Center, IA","English","Sioux Center","Alcoholics Anonymous","Iowa",-96.1718599,43.0627443,"12H 0M 0S","Sioux"
"32","Monday",12:00:00,"pm","West End A.A. Group","2603 Rockingham Rd","2603 Rockingham Rd, Davenport, IA","English","Davenport","Alcoholics Anonymous","Iowa",-90.6154944,41.5128781,"12H 0M 0S","Scott"
"33","Monday",12:00:00,"pm","F & G Location Temporarily Closed","315 E. 5th Street","315 E 5th St, Des Moines, IA","Location Temporarily Closed, Open, Wheelchair Access","Des Moines","Alcoholics Anonymous","Iowa",-93.6106227,41.5891341,"12H 0M 0S","Polk"
"34","Monday",12:00:00,"pm","Marquette Group","3510 W Central Park","3510 W Central Park Ave, Davenport, IA","English, Open","Davenport","Alcoholics Anonymous","Iowa",-90.6287447,41.5458331,"12H 0M 0S","Scott"
"35","Monday",12:00:00,"pm","500 Club  Group","410 S 16th Street","410 S 16th St, Council Bluffs, IA","English","Council Bluffs","Alcoholics Anonymous","Iowa",-95.8678129,41.2575288,"12H 0M 0S","Pottawattamie"
"36","Monday",12:00:00,"pm","Group","603 E Water Street","603 E Water St, Decorah, IA","English","Decorah","Alcoholics Anonymous","Iowa",-91.7791779,43.3040182,"12H 0M 0S","Winneshiek"
"37","Monday",12:00:00,"pm","AA On Houser Group","704 S Houser Street","704 S Houser St, Muscatine, IA","English","Muscatine","Alcoholics Anonymous","Iowa",-91.0804298,41.4090928,"12H 0M 0S","Muscatine"
"38","Monday",12:00:00,"pm","De Witt Group","816 6th Ave","816 6th Ave, De Witt, IA","English, Open","De Witt","Alcoholics Anonymous","Iowa",-90.538759,41.823861,"12H 0M 0S","Clinton"
"39","Monday",12:00:00,"pm","Big Book Study Group","Alano Club","511 Southmoor Dr, Spencer, IA","Closed","Spencer","Alcoholics Anonymous","Iowa",-95.152696,43.1290869,"12H 0M 0S","Clay"
"40","Monday",12:00:00,"pm","Mercy Group","CR Gratitude","212 Edgewood Rd SW, Cedar Rapids, IA","English","Cedar Rapids","Alcoholics Anonymous","Iowa",-91.7163537,41.9666336,"12H 0M 0S","Linn"
"41","Monday",12:00:00,"pm","Mercy Group","CR Gratitude","212 Edgewood Rd SW, Cedar Rapids, IA","English","Cedar Rapids","Alcoholics Anonymous","Iowa",-91.7163537,41.9666336,"12H 0M 0S","Linn"
"42","Monday",12:00:00,"pm","Camelshop Group Location Temporarily Closed","Camelshop","1213 Lucinda St, Perry, IA","Location Temporarily Closed, Open, Wheelchair Access","Perry","Alcoholics Anonymous","Iowa",-94.104595,41.840401,"12H 0M 0S","Dallas"
"43","Monday",12:00:00,"pm","Step Meeting Group","Finn House","600 N Ridgley St, Algona, IA","Closed","Algona","Alcoholics Anonymous","Iowa",-94.2410735,43.0745889,"12H 0M 0S","Kossuth"
"44","Monday",12:00:00,"pm","Iowa Falls AA","Fireside","11241 US-65, Iowa Falls, IA",NA,"Iowa Falls","Alcoholics Anonymous","Iowa",-93.2628904,42.5399494,"12H 0M 0S","Hardin"
"45","Monday",12:00:00,"pm","Freedom Hall- Big Book Study Online Meeting","Lutheran Church of Hope","Hope Lutheran, West Des Moines, IA","Big Book, Location Temporarily Closed, Online Meeting, Open, Wheelchair Access","West Des Moines","Alcoholics Anonymous","Iowa",-93.807621,41.581431,"12H 0M 0S","Polk"
"46","Monday",12:00:00,"pm","Marshalltown Group","Marshalltown","1311 E Nevada St, Marshalltown, IA","Closed, Discussion","Marshalltown","Alcoholics Anonymous","Iowa",-92.8901778,42.0441111,"12H 0M 0S","Marshall"
"47","Monday",12:00:00,"pm","McCormick Clubhouse","McCormick","1201 McCormick Ave, Ames, IA","Discussion, Open","Ames","Alcoholics Anonymous","Iowa",-93.5862918,42.0331781,"12H 0M 0S","Story"
