Type,Address,Day,Time,AmPm,City,State,Meeting,Code
Celebrate,"56829 US-30, Ames, IA 50010",Monday,6:30,PM,Ames,Iowa,,
Celebrate,"520 NW 36th St, Ankeny, Iowa 50023 United States",Monday,6:30,PM,Ankeny,Iowa,,
Celebrate,"601 State St, Tama, Iowa 52339 United States",Monday,6:00,PM,Tama,Iowa,,
Celebrate,"6036 NE 12th St, Pleasant Hill, IA 50327",Tuesday,6:30,PM,Pleasant Hill,Iowa,,
Celebrate,"419 E Oskaloosa Street, Pella, IA 50219",Thursday,6:00,PM,Pella,Iowa,,
Celebrate,"6800 Townsend Ave-Student Campus, Urbandale, Iowa 50322 United States",Tuesday,6:30,PM,Urbandale,Iowa,,
Celebrate,"2725 Merle Hay Rd., Des Moines, IA 50310",Sunday,6:00,PM,Des Moines,Iowa,,
Celebrate,"120 W Main Street, Knoxville, IA 50138",Thursday,6:00,PM,Knoxville,Iowa,,
Celebrate,"925 Jordan Creek Parkway, West Des Moines, Iowa 50265 United States",Thursday,6:30,PM,West Des Moines,Iowa,,
Celebrate,"111 6th St., Boone, Iowa 50036 United States",Monday,6:30,PM,Boone,Iowa,,
Celebrate,"14424 Kennedy St, Indianola, Iowa 50125 United States",Thursday,6:00,PM,Indianola,Iowa,,
Celebrate,"2727 W. 4th Street, Cedar Falls, Iowa 50613 United States",Thursday,6:30,PM,Cedar Falls,Iowa,,
Celebrate,"3467 Lafayette Rd, Evansdale, IA 50707",Friday,6:30,PM,Evansdale,Iowa,,
Celebrate,"1013 E Bremer, Waverly, IA 50677",Monday,6:30,PM,Waverly,Iowa,,
Celebrate,"3318 5th Ave S, Ft Dodge, IA 50501",Tuesday,6:00,PM,Fort Dodge,Iowa,,
Celebrate,"138 N Washington, Ottumwa IA 52501",Monday,6:00,PM,Ottumwa,Iowa,,
Celebrate,"3275 N. Center Point RD, Cedar Rapids, Iowa 52411 United States",Thursday,6:30,PM,Cedar Rapids,Iowa,,
Celebrate,"1220 Rock Valley Rd Centerville, IA 52544",Friday,6:00,PM,Centerville,Iowa,,
Celebrate,"225 20th St SE, Oelwein, IA 50662",Tuesday,6:30,PM,Oelwein,Iowa,,
Celebrate,"403 South Mechanic St, Brighton, IA",Thursday,6:00,PM,Brighton,Iowa,,
Celebrate,"1304 N Carolina Ave, Mason City, IA 50401",Thursday,7:00,PM,Mason City,Iowa,,
Celebrate,"1913 E 22nd St, Atlantic, Iowa 50022 United States",Thursday,6:45,PM,Atlantic,Iowa,,
Celebrate,"503 22nd St., Fort Madison, Iowa 52627 United States",Friday,7:00,PM,Fort Madison,Iowa,,
Celebrate,"1602 Ave F, Ft. Madison, IA 52627",Tuesday,6:15,PM,Fort Madison,Iowa,,
Celebrate,"550 Division St, Burlington, Iowa 52601 United States",Thursday,6:00,PM,Burlington,Iowa,,
Celebrate,"3939 Pennsylvania Ave, Dubuque, Iowa 52002 United States",Monday,6:30,PM,Dubuque,Iowa,,
Celebrate,"11893 John F. Kennedy Road, Dubuque, Iowa 52001 United States",Monday,6:30,PM,Dubuque,Iowa,,
Celebrate,"2109 Railroad Hwy, Council Bluffs, Iowa 51503 United States",Thursday,6:45,PM,Council Bluffs,Iowa,,
Celebrate,"1010 Julia St, Okoboji, Iowa 51355 United States",Tuesday,7:00,PM,Okoboji,Iowa,,
SMART,"945 Tower Park Drive, Waterloo, IA, 50701, USA",Friday,12:00,PM,Waterloo,Iowa,,
SMART,"2700 Graham Street, Ames, IA 50010 USA",Tuesday,6:30,PM,Ames,Iowa,,
SMART,"200 Hawkins Drive, Iowa City, IA, 52245, USA",Monday,5:00,PM,Fort Dodge,Iowa,,
SMART,"28 N. 10th St., Fort Dodge, IA, 50501, USA",Monday,6:00,PM,Iowa City,Iowa,,
SMART,"601 2nd St., Bayard, IA, 50029, USA",Sunday,7:00,PM,Bayard,Iowa,,
CRUSH,"1700 B Ave NE, Cedar Rapids, IA, 52402",Wednesday,6:00,PM,Cedar Rapids,Iowa,,
CRUSH,"438 Southgate, Iowa City, IA, 52240",Monday,6:00,PM,Iowa City,Iowa,,
Refuge Recovery,"1750 48th Street,  Des Moines, Iowa,  50310",Friday,6:00,PM,Des Moines,Iowa,,
Pills Anonymous,"1240 Heirs Ave, Carroll, Iowa, 51401, USA",Friday,5:00,PM,Carroll,Iowa,Prescription For Freedom,
