ID,NAME,MEETING_TIME,DESCRIPTION,ADDRESS,LOCATION_INSTRUCTION,EMAIL,WEBSITE,PHONE,SHOW_MEETINGS_WITH,GROUP_ID
0,Hope AFG,Sunday 6:00 PM,St Stephens Episcopal Church,"223 E 4th St N, Newton, IA, 50208, USA",Use door off parking lot,,,,Al-Anon; Families and Friends Only; English; Sunday; ,30532422
1,Marshalltown AFG,Sunday 8:00 AM,Alano Club,"1311 E Nevada St, Marshalltown, IA, 50158, USA",Park on south side and enter through east door.,,,,Al-Anon; Families and Friends Only; English; Sunday; Handicap Access; ,26462
2,Marshalltown AFG,Thursday 6:30 PM,Alano Club,"1311 E Nevada St, Marshalltown, IA, 50158, USA",Park on south side and enter through east door.,,,,Al-Anon; Families and Friends Only; English; Thursday; Handicap Access; ,26462
3,Grinnell Step Study AFG,Monday 7:00 PM,First Presbyterian Church,"1025 5th Ave, Grinnell, IA, 50112, USA",Room off of church entry,,,,Al-Anon; Families and Friends Only; English; Monday; Handicap Access; ,30673517
4,Courage To Be Me Alateen,Tuesday 7:00 PM,Lutheran Church Of The Cross,"1701 8th St SW, Altoona, IA, 50009, USA",Age range 5-19. Use southeast door,,al-anondesmoines.org,,Alateen; English; Tuesday; ,30621320
5,Tuesday Night Step Study AFG,Tuesday 7:00 PM,Lutheran Church of the Cross,"1701 8th St SW, Altoona, IA, 50009, USA",Southeast entrance of the main building,,,,Al-Anon; Families and Friends Only; English; Tuesday; Handicap Access; Child Care; ,30508000
6,Beginner's AFG,Monday 7:00 PM,Alano Club,"1201 Mccormick Ave, Ames, IA, 50010, USA",Meetings run from 7:10pm to 7:50pm,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Monday; Beginners; Handicap Access; ",61796
7,Daily Hope And Courage AFG,Thursday 7:00 PM,Alano Club,"1201 McCormick Ave, Ames, IA, 50010, USA",,,,,Al-Anon; Families and Friends Only; English; Thursday; Handicap Access; ,30621306
8,Progress Not Perfection AFG,Wednesday 7:00 PM,Alano Club,"1201 McCormick Ave, Ames, IA, 50010, USA",,,,,Al-Anon; Families and Friends Only; English; Wednesday; Handicap Access; ,503579
9,Finding Hope And Serenity AFG,Thursday 6:30 PM,Lutheran Church Of Hope,"520 NW 36TH ST, ANKENY, IA, 50023, USA",Room 144,,,,Al-Anon; Families and Friends Only; English; Thursday; Handicap Access; ,30670759
10,Monday Nite Ankeny AFG,Monday 7:00 PM,First United Methodist Church,"206 S Walnut St, Ankeny, IA, 50023, USA",Room 314. downstairs,,,,Al-Anon; Families and Friends Only; English; Monday; Handicap Access; ,4540
11,Ames Area AFG Intergroup,,,"PO Box 351, Ames, IA, 50010, USA",,amesalanon@gmail.com,,(515) 257-6317,Al-Anon; Alateen; English; Español; Français; Other Languages; ,
12,Adult Children AFG,Thursday 7:00 PM,Collegiate Methodist Church,"2622 Lincoln Way, Ames, IA, 50014, USA","Enter on west side and go downstairs to basement, Pine room",,,,Al-Anon; Families and Friends Only; English; Thursday; Adult Children; Handicap Access; ,30603718
13,Alateen Survivors,Tuesday 7:00 PM,Collegiate Methodist Library West,"2622 Lincoln Way, Ames, IA, 50014, USA",Age range 11-19. Pine room,,,,Alateen; English; Tuesday; ,30513079
14,New Hope Group AFG,Saturday 10:00 AM,Collegiate United Methodist Church,"2622 Lincoln Way, Ames, IA, 50014, USA","Norman Room, enter through the west door and go downstairs, meeting ends at 11:15 am",,,,Al-Anon; Families and Friends Only; English; Saturday; Handicap Access; ,25201
15,Tuesday Night How It Works AFG,Tuesday 7:00 PM,Collegiate United Methodist Church,"2622 Lincoln Way, Ames, IA, 50014, USA",Enter through west door. downstairs. basement room 44.,,,,Al-Anon; Families and Friends Only; English; Tuesday; Handicap Access; ,61289
16,Friday Night White House AFG,Friday 8:00 PM,The White House,"1400 Pennsylvania Ave, Des Moines, IA, 50316, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Friday; ",4633
17,Tuesday Night AFG,Tuesday 7:30 PM,The White House,"1400 Pennsylvania Ave, Des Moines, IA, 50316, USA",Upstairs,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Tuesday; ",4649
18,Friday Night High Hopes-Men's Group AFG,Friday 8:00 PM,Iowa Lutheran Hospital,"700 E University Ave, Des Moines, IA, 50316, USA","Fourth Floor Room 486, Powell CDC",,,,Al-Anon; Families and Friends Only; English; Friday; Men; Handicap Access; ,4642
19,Monday Night Parents AFG,Monday 7:00 PM,Iowa Lutheran Hospital,"700 E University Dr, Des Moines, IA, 50316, USA",Meeting held on first flloor in conference room one.,,,,Al-Anon; Families and Friends Only; English; Monday; Parents; ,30621036
20,Parents And Others AFG,Thursday 5:30 PM,Iowa Lutheran Hospital,"700 E University Ave, Des Moines, IA, 50316, USA",Room 481,,,,Al-Anon; Families and Friends Only; English; Thursday; Parents; ,30536629
